epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1054.27,1.11898,2.21241,1.26531,1.35025,0.5025,0.51435,0.47332,0.35127,0.70883,0.40348,0.45969,0.30949,1.24437,2.40637,1.25225,1.28915,0.000593846,0.000593846,0.000593846
31,1089.51,1.11012,2.23016,1.24431,1.34979,0.55732,0.40263,0.46545,0.33057,0.55415,0.39823,0.44933,0.28585,1.26308,2.4812,1.3196,1.31983,0.000585599,0.000585599,0.000585599
32,1124.56,1.12346,2.22724,1.26219,1.35622,0.55533,0.47474,0.47844,0.3233,0.55147,0.46887,0.46627,0.29617,1.26581,2.48852,1.27992,1.30026,0.000577352,0.000577352,0.000577352
33,1159.6,1.12542,2.2261,1.28296,1.36089,0.61643,0.451,0.48482,0.35782,0.59109,0.45691,0.47873,0.31088,1.23688,2.38487,1.28358,1.29507,0.000569106,0.000569106,0.000569106
34,1194.7,1.11006,2.203,1.24318,1.35041,0.6255,0.43973,0.4907,0.36571,0.61935,0.43679,0.47362,0.31372,1.23752,2.4678,1.27271,1.3088,0.000560859,0.000560859,0.000560859
35,1229.96,1.10003,2.17842,1.19467,1.33176,0.76877,0.44372,0.49821,0.35694,0.76242,0.4447,0.48548,0.31017,1.26065,2.35237,1.29574,1.30618,0.000552612,0.000552612,0.000552612
36,1264.77,1.08299,2.16776,1.21908,1.33478,0.49631,0.45339,0.45746,0.32401,0.76922,0.37326,0.46385,0.28674,1.28757,2.5341,1.31347,1.34154,0.000544365,0.000544365,0.000544365
37,1299.62,1.08355,2.15962,1.21308,1.32439,0.52446,0.48807,0.48693,0.35154,0.50973,0.47825,0.48239,0.31639,1.24382,2.44295,1.32661,1.29437,0.000536119,0.000536119,0.000536119
38,1334.41,1.0869,2.15428,1.18531,1.32193,0.64664,0.4641,0.49238,0.3582,0.63645,0.45432,0.48066,0.30525,1.2426,2.42703,1.34127,1.30124,0.000527872,0.000527872,0.000527872
39,1369.37,1.08106,2.15742,1.19662,1.32587,0.62884,0.47368,0.47803,0.34772,0.55703,0.45766,0.46013,0.30896,1.21923,2.36715,1.23244,1.27788,0.000519625,0.000519625,0.000519625
40,1404.14,1.08236,2.13463,1.18152,1.32649,0.52266,0.50634,0.47843,0.34564,0.51841,0.50335,0.46586,0.29934,1.22052,2.35047,1.25408,1.28305,0.000511379,0.000511379,0.000511379
41,1439.08,1.08807,2.16396,1.18156,1.32948,0.62733,0.45536,0.48781,0.35878,0.62071,0.45129,0.47609,0.31546,1.23108,2.39918,1.20642,1.28325,0.000503132,0.000503132,0.000503132
42,1473.92,1.07751,2.13047,1.17373,1.32287,0.51531,0.48963,0.47722,0.32485,0.50837,0.51313,0.48577,0.29911,1.25839,2.41128,1.23268,1.3094,0.000494885,0.000494885,0.000494885
43,1508.96,1.07572,2.12459,1.18313,1.33013,0.54821,0.4527,0.46995,0.3402,0.54701,0.44975,0.46479,0.30566,1.18341,2.41886,1.2415,1.25777,0.000486639,0.000486639,0.000486639
44,1543.92,1.0691,2.08602,1.15385,1.31345,0.52679,0.5356,0.49252,0.36511,0.53936,0.5122,0.48459,0.32514,1.19177,2.35317,1.18787,1.26156,0.000478392,0.000478392,0.000478392
45,1578.95,1.0696,2.11357,1.14768,1.30641,0.72125,0.45725,0.52263,0.38429,0.64206,0.46694,0.50243,0.32578,1.19142,2.34468,1.21408,1.26547,0.000470145,0.000470145,0.000470145
46,1614.14,1.07418,2.12154,1.16815,1.3099,0.54853,0.4859,0.47937,0.33986,0.5299,0.47027,0.46385,0.30728,1.20301,2.3704,1.30424,1.29455,0.000461898,0.000461898,0.000461898
47,1649.11,1.07414,2.09161,1.15007,1.31507,0.60507,0.51227,0.51508,0.38388,0.61305,0.51581,0.50561,0.3327,1.19522,2.41498,1.22003,1.27244,0.000453652,0.000453652,0.000453652
48,1684.3,1.04323,2.05389,1.10425,1.28388,0.68109,0.46716,0.52328,0.38976,0.67063,0.46204,0.51042,0.33847,1.19663,2.31771,1.19409,1.2617,0.000445405,0.000445405,0.000445405
49,1719.53,1.05891,2.07728,1.14007,1.30178,0.59611,0.40091,0.47844,0.34564,0.49548,0.46245,0.4686,0.30752,1.20505,2.35949,1.21522,1.26951,0.000437158,0.000437158,0.000437158
50,1754.46,1.0523,2.02704,1.10064,1.2887,0.75696,0.47426,0.51995,0.38465,0.75375,0.46738,0.50775,0.34371,1.22134,2.33911,1.18273,1.28342,0.000428912,0.000428912,0.000428912
51,1789.56,1.05677,2.05747,1.10379,1.28711,0.56315,0.50063,0.48772,0.36011,0.56156,0.50057,0.48215,0.30829,1.21185,2.42939,1.19445,1.27939,0.000420665,0.000420665,0.000420665
52,1824.54,1.03618,2.03126,1.09121,1.29063,0.62516,0.50658,0.53413,0.39453,0.61209,0.49488,0.51723,0.34609,1.19796,2.36723,1.17792,1.27036,0.000412418,0.000412418,0.000412418
53,1859.62,1.0299,2.01358,1.08797,1.28539,0.57225,0.54312,0.52289,0.39229,0.68854,0.46622,0.51182,0.33803,1.19039,2.36679,1.19095,1.26054,0.000404172,0.000404172,0.000404172
54,1894.51,1.03473,2.01898,1.08052,1.28635,0.65209,0.51063,0.52151,0.38338,0.6188,0.50026,0.50411,0.34219,1.19558,2.31265,1.1498,1.2643,0.000395925,0.000395925,0.000395925
55,1929.47,1.04334,2.05333,1.08947,1.29269,0.5244,0.51241,0.49012,0.35809,0.52417,0.51082,0.48818,0.31929,1.20056,2.37783,1.21221,1.2745,0.000387678,0.000387678,0.000387678
56,1964.39,1.01813,1.98203,1.06815,1.27377,0.56154,0.54104,0.50885,0.38695,0.55686,0.5371,0.49791,0.34019,1.17367,2.36303,1.16647,1.26033,0.000379431,0.000379431,0.000379431
57,1999.28,1.01908,1.98809,1.06783,1.28464,0.552,0.52155,0.49762,0.36346,0.55295,0.52028,0.49364,0.32568,1.20092,2.34214,1.23304,1.27889,0.000371185,0.000371185,0.000371185
58,2034.32,1.03645,1.9876,1.04488,1.27403,0.62276,0.5484,0.52973,0.39894,0.61722,0.54827,0.52096,0.35595,1.19356,2.37161,1.17469,1.26251,0.000362938,0.000362938,0.000362938
59,2069.46,1.0081,1.94376,1.03612,1.27402,0.58698,0.51445,0.51761,0.36727,0.59163,0.50701,0.50259,0.32935,1.20732,2.32636,1.20198,1.26765,0.000354691,0.000354691,0.000354691
60,2104.32,1.01845,1.99271,1.05311,1.26659,0.63401,0.48299,0.52565,0.39151,0.62695,0.4773,0.51526,0.34549,1.1735,2.31572,1.15538,1.24458,0.000346445,0.000346445,0.000346445
61,2139.25,0.9954,1.93911,1.03264,1.26062,0.60576,0.49474,0.51467,0.37923,0.60403,0.49168,0.50611,0.33659,1.19276,2.33064,1.17892,1.27521,0.000338198,0.000338198,0.000338198
62,2174.09,0.99802,1.95422,1.02403,1.26127,0.64299,0.51703,0.5341,0.39128,0.63993,0.51165,0.52533,0.35149,1.18306,2.34832,1.17911,1.26474,0.000329951,0.000329951,0.000329951
63,2209.22,1.00098,1.95359,1.00915,1.2521,0.60749,0.51485,0.52459,0.38765,0.59836,0.5167,0.51586,0.35442,1.19262,2.39647,1.13236,1.26629,0.000321705,0.000321705,0.000321705
64,2244.14,0.99932,1.92281,1.01556,1.25701,0.6352,0.49184,0.50395,0.37578,0.59737,0.50745,0.49673,0.336,1.18408,2.3552,1.14449,1.27165,0.000313458,0.000313458,0.000313458
65,2279.2,0.97265,1.91579,0.9975,1.25064,0.60139,0.5178,0.51342,0.38971,0.59678,0.51517,0.50552,0.34043,1.17805,2.38409,1.14858,1.25325,0.000305211,0.000305211,0.000305211
66,2314.15,0.99485,1.9277,1.00248,1.25459,0.6741,0.49137,0.52024,0.38475,0.66335,0.4924,0.51264,0.33773,1.18323,2.37249,1.19842,1.25929,0.000296964,0.000296964,0.000296964
67,2349.17,0.98807,1.89764,0.9936,1.25167,0.60918,0.53135,0.53802,0.40242,0.61377,0.52528,0.52645,0.35784,1.17111,2.30322,1.13937,1.24343,0.000288718,0.000288718,0.000288718
68,2384.24,0.99285,1.90808,0.9934,1.24557,0.64392,0.5308,0.5308,0.40372,0.6412,0.52758,0.52489,0.35603,1.17444,2.36886,1.16217,1.25795,0.000280471,0.000280471,0.000280471
69,2419.19,0.99253,1.9104,0.98423,1.24663,0.54853,0.51053,0.50427,0.37761,0.55139,0.51373,0.49248,0.33896,1.1724,2.3327,1.19161,1.24978,0.000272224,0.000272224,0.000272224
70,2454.17,0.98756,1.91453,0.98053,1.24061,0.7176,0.48556,0.53831,0.40872,0.65896,0.52077,0.53569,0.36138,1.18236,2.37531,1.15476,1.26861,0.000263978,0.000263978,0.000263978
71,2489.36,0.97302,1.85545,0.95474,1.23796,0.63511,0.50208,0.52966,0.397,0.6206,0.49508,0.51651,0.35253,1.15999,2.34831,1.16937,1.25195,0.000255731,0.000255731,0.000255731
72,2524.26,0.97212,1.86554,0.95587,1.235,0.63172,0.51562,0.52951,0.40162,0.6277,0.51084,0.52078,0.35143,1.17337,2.32363,1.17329,1.26062,0.000247484,0.000247484,0.000247484
73,2559.25,0.97495,1.88883,0.95632,1.23196,0.58413,0.54416,0.53677,0.41639,0.58317,0.53764,0.52667,0.35815,1.14642,2.34831,1.16927,1.2312,0.000239238,0.000239238,0.000239238
74,2594.36,0.96864,1.8513,0.94474,1.23377,0.66852,0.50003,0.53467,0.40926,0.65567,0.50223,0.53144,0.35733,1.17843,2.30038,1.1544,1.25058,0.000230991,0.000230991,0.000230991
75,2629.39,0.95116,1.83557,0.92571,1.22209,0.63335,0.51292,0.53785,0.41509,0.62995,0.5024,0.53198,0.35707,1.17407,2.37071,1.1525,1.26087,0.000222744,0.000222744,0.000222744
76,2664.35,0.9519,1.81984,0.93534,1.22437,0.66678,0.47432,0.52645,0.40361,0.66266,0.47119,0.51879,0.34882,1.17773,2.37419,1.20877,1.26145,0.000214497,0.000214497,0.000214497
77,2699.21,0.9599,1.8408,0.92376,1.21878,0.63119,0.48408,0.52226,0.39748,0.62058,0.49577,0.5194,0.35719,1.18645,2.37694,1.19692,1.25852,0.000206251,0.000206251,0.000206251
